"study","wave","version","versn_s","doi_gesis","doi_wvsa","studytit","uniqid","intrvwr_id","cntry","cntry_an","cntrycow","year","fw_start","fw_end","cntry_y","mode","mm_mixed_mode_evs5","mm_mode_fu_evs5","mm_matrix_group_evs5","mm_fw_start_fu_evs5","mm_fw_end_fu_evs5","mm_year_fu_evs5","ivlength","ivstart","ivstend","ivdate","mm_v277_fu_evs5","mm_v278a_fu_r_evs5","mm_v279a_fu_r_evs5","lnge_num","lnge_iso","gwght","pwght","wght_eq1000","reg_nuts1","reg_nuts2","reg_iso","size_5c","respint","a001","a002","a003","a004","a005","a006","a008","a009","a170","a173","a027","a029","a030","a032","a034","a035","a038","a039","a040","a041","a042","a065","a066","a067","a068","a071","a072","a074","a078","a079","a080_01","a080_02","a124_02","a124_03","a124_06","a124_08","a124_09","a165","b008","c001","c001_01","c002","c002_01","d081","d026_03","d026_05","c038","c039","c041","d001_b","g007_18_b","g007_33_b","g007_34_b","g007_35_b","g007_36_b","d054","d059","d060","d061","d078","e001","e002","e003","e004","y002","e012","e015","e018","e023","e025","e026","e027","e028","e033","e035","e036","e037","e039","e069_01","e069_02","e069_04","e069_05","e069_06","e069_07","e069_08","e069_18a","e069_18","e069_11","e069_12","e069_13","e069_14","e069_17","e069_20","e111_01","e114","e115","e116","e117","e179_wvs7","e181_evs5","e224","e225","e226","e227","e228","e229","e233","e233a","e233b","e235","e236","e263","e264","e265_01","e265_02","e265_03","e265_04","e265_05","e265_06","e265_07","e265_08","f025","f028","f028b_wvs7","f066_evs5","f034","f050","f051","f053","f054","f063","f114a","f115","f116","f117","f118","f119","f120","f121","f122","f123","f132","e290","f144_02","g005","g006","g052","g062","g063","g255","g256","g257","h009","h010","h011","x001","x002","x003","x003r","x003r2","g027a","x002_02a","x002_02b","v002","v002a","v002a_01","v001","v001a","v001a_01","x007","x026_01","x011","x013","x025a_01","x025r","w002a_01","w002r","v004am_01","v004rm","v004af_01","v004rf","x028","w003","x052","x035_evs5","x036e_wvs7","v097ef","w005_evs5","w006e_wvs7","x047_wvs7","x047e_evs5"
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720702,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,56,13.37,14.33,20170428,-4,-4,-4,128,"en",1.60917293,125231.12481,0.385208,"-4","-4",840037,3,2,1,1,1,1,1,2,1,1,10,10,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,1,3,-4,1,-4,2,3,2,1,1,1,3,2,1,2,2,2,2,3,4,2,4,2,-2,2,1,2,0,3,1,2,1,2,3,3,8,10,1,1,1,2,1,4,3,2,3,3,3,-4,2,3,3,2,2,3,10,3,2,3,4,840001,-4,5,5,10,5,3,5,10,1,1,10,10,1,1,1,3,2,4,4,2,4,4,0,6,3,-4,1,1,1,1,1,9,1,1,1,1,6,1,1,6,6,1,3,1,10,1,1,3,1,3,2,3,1,3,4,2,2,1986,31,2,2,1,840,"US",1,840,"US",1,840,"US",1,1,2,4,5,3,4,2,3,2,4,2,3,1,2,-4,4,8,-4,6,7,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720703,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,59,18.36,19.35,20170503,-4,-4,-4,128,"en",0.602362041,125231.12481,0.385208,"-4","-4",840003,5,2,1,1,1,3,3,2,2,5,3,7,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,1,2,-4,2,-4,2,4,3,4,3,3,2,2,2,2,2,2,2,3,3,3,3,3,1,2,4,3,0,1,3,4,1,2,1,2,1,6,5,4,6,3,3,2,3,3,3,3,3,-4,4,3,3,2,3,3,1,2,2,4,1,5,-4,9,1,10,5,2,10,10,8,10,10,3,2,2,4,3,2,3,2,2,2,4,0,3,3,-4,3,0,1,0,0,1,1,2,1,1,10,2,10,10,10,10,8,1,5,1,1,3,3,1,2,3,2,4,3,4,1,1970,47,4,2,1,840,"US",1,840,"US",1,840,"US",6,1,0,2,3,2,-3,-3,5,3,6,3,4,-3,2,-4,-3,2,-4,-3,3,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720704,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,45,12.29,13.14,20170501,-4,-4,-4,128,"en",1.087610908,125231.12481,0.385208,"-4","-4",840043,3,2,1,2,3,4,4,1,1,1,9,8,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,3,-4,1,-4,4,4,4,4,3,4,2,2,2,3,2,2,2,2,3,2,2,3,2,2,4,3,1,2,2,3,2,2,2,3,10,10,5,1,4,2,2,4,4,3,4,3,4,-4,3,4,3,4,3,4,6,3,4,4,4,840001,-4,1,7,10,4,1,6,5,1,6,8,7,2,1,2,4,2,1,4,2,3,2,2,2,1,-4,2,1,1,1,1,10,1,1,1,1,1,2,2,1,1,1,1,1,6,1,2,3,3,4,3,2,2,2,3,4,1,1948,69,6,3,1,840,"US",1,840,"US",1,840,"US",1,1,4,2,6,3,6,3,3,2,3,2,4,4,2,-4,-3,7,-4,-3,5,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720705,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,50,21.11,22.01,20170501,-4,-4,-4,128,"en",0.296232928,125231.12481,0.385208,"-4","-4",840023,4,3,2,3,3,3,1,1,2,2,6,5,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,2,1,2,-4,3,-4,4,3,2,1,2,4,2,2,1,4,3,2,1,3,4,3,4,1,3,1,4,2,0,2,3,2,1,3,2,2,4,5,1,6,2,2,2,3,3,2,3,3,2,-4,3,3,2,2,3,1,5,4,2,4,1,-2,-4,5,1,10,7,2,10,10,1,1,10,7,2,1,-2,2,2,2,3,2,2,3,2,1,1,-4,1,1,1,1,1,10,1,1,1,1,1,1,5,5,1,1,1,1,1,1,2,5,1,2,2,2,1,2,3,4,2,1989,28,2,1,1,840,"US",1,840,"US",1,840,"US",1,1,3,5,6,3,6,3,3,2,4,2,5,1,3,-4,-3,10,-4,3,3,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720706,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,114,15.13,17.08,20170501,-4,-4,-4,128,"en",0.850280606,125231.12481,0.385208,"-4","-4",840048,-5,2,1,3,2,2,3,2,2,2,4,9,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,2,2,2,-4,1,-4,4,5,4,4,4,4,2,3,2,3,3,3,3,3,3,3,3,2,1,1,3,1,1,3,1,2,1,3,3,3,8,6,2,4,5,2,2,3,3,2,2,2,3,-4,1,2,2,2,3,4,5,3,3,3,2,840001,-4,5,5,5,5,4,5,5,5,7,8,8,3,3,2,4,4,4,3,2,2,2,0,7,3,-4,1,1,1,1,1,9,4,2,1,1,1,1,1,7,5,5,5,4,7,1,1,3,2,3,2,3,2,1,2,1,2,1967,50,4,3,1,840,"US",1,840,"US",1,840,"US",3,1,2,3,3,2,-3,-3,3,2,2,1,5,-3,2,-4,-3,7,-4,-3,3,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720707,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,-5,18.42,21.19,20170502,-4,-4,-4,128,"en",1.373636021,125231.12481,0.385208,"-4","-4",840013,3,2,1,1,2,2,1,1,1,1,7,8,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,2,2,-4,2,-4,4,1,3,4,1,2,1,1,1,2,2,2,2,3,3,2,2,1,2,4,1,2,1,3,1,2,2,3,2,3,8,10,1,1,1,2,2,4,4,1,3,3,3,-4,2,4,2,4,2,4,7,4,4,4,2,840001,-4,1,1,10,1,1,10,10,1,10,10,6,1,1,2,2,1,3,4,2,3,4,2,2,1,-4,1,1,1,1,1,10,1,1,1,1,-2,1,1,5,1,1,1,1,5,1,1,4,4,4,2,4,1,1,3,2,1,1961,56,5,3,1,840,"US",1,840,"US",1,840,"US",1,1,4,3,6,3,6,3,3,2,3,2,3,3,2,-4,4,7,-4,4,7,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720708,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,-5,-5,-5,20170501,-4,-4,-4,128,"en",0.999052893,125231.12481,0.385208,"-4","-4",840024,-5,2,1,2,2,2,2,1,2,2,9,8,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,3,-4,1,-4,4,2,3,2,2,2,2,2,2,3,2,2,2,3,3,3,3,2,1,2,4,3,1,3,2,2,2,3,2,3,6,8,2,2,2,1,1,2,3,2,3,3,3,-4,3,3,3,3,2,2,2,1,1,2,3,840001,-4,1,1,1,1,1,1,1,1,1,3,3,2,1,1,2,1,2,2,1,3,3,0,2,1,-4,1,1,1,1,1,10,1,1,1,1,1,1,1,3,1,1,1,1,5,1,1,2,2,2,1,2,2,2,2,2,2,1992,25,2,1,1,840,"US",1,840,"US",1,840,"US",1,1,1,3,6,3,4,2,3,2,3,2,1,3,1,-4,1,6,-4,5,-2,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720709,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,41,20.18,20.59,20170502,-4,-4,-4,128,"en",0.855631814,125231.12481,0.385208,"-4","-4",840021,3,2,1,1,1,2,1,3,2,1,7,10,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,1,2,-4,1,-4,2,3,3,1,1,4,1,2,2,2,3,3,1,3,3,2,3,2,1,1,4,2,1,2,1,2,1,2,1,3,6,10,1,10,1,3,1,3,2,2,2,2,3,-4,2,2,2,2,2,3,5,2,3,2,2,840002,-4,7,8,8,9,7,9,7,8,8,8,7,1,1,2,-2,4,2,2,3,3,2,-2,7,8,-4,-2,1,1,1,1,6,2,6,1,2,10,1,10,10,1,1,6,1,7,1,2,3,2,2,3,2,2,2,4,4,2,1982,35,3,2,1,840,"US",0,616,"PL",1,840,"US",6,1,1,2,5,3,-3,-3,3,2,3,2,1,-3,2,-4,6,6,-4,-3,3,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720710,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,26,14.34,15,20170503,-4,-4,-4,128,"en",0.891178872,125231.12481,0.385208,"-4","-4",840041,3,2,1,2,3,3,1,2,2,3,4,8,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-2,0,0,1,0,1,0,2,2,2,-4,1,-4,1,5,5,3,3,3,1,2,2,3,2,2,2,4,3,-2,4,2,-2,2,-2,-5,1,3,1,2,1,2,2,2,5,6,7,10,-2,2,1,3,3,2,4,2,3,-4,4,4,4,-2,2,3,1,2,4,3,3,840002,-4,10,1,10,10,6,5,8,9,7,10,5,1,1,4,2,2,2,3,3,2,3,0,3,1,-4,1,1,0,1,1,8,5,5,1,1,10,7,5,5,6,1,8,1,6,1,1,3,4,4,2,3,4,1,3,4,2,1978,39,3,2,1,840,"US",1,840,"US",1,840,"US",5,1,3,3,3,2,-3,-3,6,3,3,2,2,-3,2,-4,-1,-1,-4,-3,3,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720711,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,-5,14.44,15,20170501,-4,-4,-4,128,"en",0.549632576,125231.12481,0.385208,"-4","-4",840014,3,2,1,1,2,3,3,2,1,1,10,9,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,2,2,-4,2,-4,1,5,3,3,3,4,1,2,1,2,2,2,1,4,4,4,4,1,2,1,4,2,0,2,2,2,1,2,2,2,2,6,7,4,7,1,1,3,3,2,3,3,2,-4,3,3,2,2,2,2,6,3,3,3,1,840002,-4,9,9,9,9,9,9,10,9,9,10,9,1,1,1,3,2,2,2,2,2,3,0,2,3,-4,1,1,1,1,1,10,3,1,1,2,10,2,2,8,6,6,7,1,3,1,2,3,3,3,2,2,3,1,3,3,2,1982,35,3,2,1,840,"US",1,840,"US",1,840,"US",1,1,2,4,7,3,6,3,3,2,6,3,1,1,1,-4,1,2,-4,1,7,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720712,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,264,10.35,14.59,20170502,-4,-4,-4,128,"en",0.886906088,125231.12481,0.385208,"-4","-4",840005,-5,2,1,1,1,1,3,4,2,2,8,8,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,-4,3,-4,1,5,3,4,5,5,1,2,2,2,2,2,3,3,3,3,3,-2,-2,2,4,3,0,1,3,2,1,2,1,2,4,3,6,7,3,4,3,2,2,3,3,2,3,-4,3,4,3,3,3,2,3,4,2,4,2,-2,-4,1,1,10,1,1,10,10,1,9,5,7,3,3,2,3,2,4,3,2,2,3,2,8,8,-4,3,0,0,0,0,1,2,2,2,1,10,10,7,8,8,4,9,2,2,1,3,4,2,2,2,3,3,3,4,4,1,1982,35,3,2,1,840,"US",1,840,"US",1,840,"US",2,1,0,2,6,3,6,3,6,3,6,3,1,1,1,-4,3,4,-4,5,4,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720713,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,64,15.49,16.54,20170519,-4,-4,-4,128,"en",1.853432376,125231.12481,0.385208,"-4","-4",840005,5,1,2,4,4,2,1,3,3,3,4,7,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2,2,-4,3,-4,4,4,3,2,2,2,2,2,2,3,2,2,3,3,3,2,3,1,2,1,3,1,1,3,1,1,1,3,3,3,8,8,1,1,1,2,2,3,4,2,3,4,3,-4,2,3,2,4,3,4,3,3,3,4,1,840001,-4,1,1,10,1,3,10,10,1,5,10,7,1,1,1,3,-2,4,4,1,3,4,2,8,7,-4,2,1,1,1,1,8,1,1,5,1,-2,1,2,5,5,5,5,1,10,1,1,3,2,2,3,4,1,2,3,3,1,1965,52,4,3,1,840,"US",1,840,"US",1,840,"US",1,1,0,3,4,2,3,2,-1,-1,-1,-1,1,1,1,-4,1,-2,-4,1,7,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720714,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,70,22.13,23.24,20170502,-4,-4,-4,128,"en",0.832102676,125231.12481,0.385208,"-4","-4",840030,3,2,1,1,3,4,2,4,2,2,6,10,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,2,-4,1,-4,1,3,3,5,3,1,1,2,1,4,2,2,2,4,4,3,4,2,1,1,4,2,0,2,1,4,2,3,2,2,6,7,3,10,4,4,1,3,3,2,2,2,3,-4,2,3,3,2,2,3,4,3,2,3,2,840001,-4,6,5,6,3,6,6,7,5,5,6,8,3,3,2,3,3,1,3,3,2,2,0,8,8,-4,3,0,1,0,0,1,5,5,1,2,10,1,3,7,4,1,7,1,8,1,3,2,2,3,3,4,3,1,4,3,2,1990,27,2,1,1,840,"US",1,840,"US",1,840,"US",6,2,1,3,3,2,-3,-3,3,2,3,2,5,-3,2,-4,-3,-1,-4,-3,5,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720715,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,38,13.39,14.18,20170502,-4,-4,-4,128,"en",0.94670369,125231.12481,0.385208,"-4","-4",840033,-5,1,1,1,1,3,2,1,2,1,5,8,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,2,2,2,-4,1,-4,4,4,2,4,4,4,1,4,1,2,1,2,1,3,4,3,4,1,3,1,2,2,0,1,1,3,1,1,1,1,2,1,1,8,3,2,2,3,2,2,3,3,2,-4,4,3,2,2,3,2,1,4,3,3,1,840002,-4,1,1,10,8,1,9,10,1,1,10,7,2,1,2,4,3,3,2,2,3,3,1,2,1,-4,2,1,1,1,1,10,2,8,7,1,5,2,5,7,6,1,8,1,1,1,2,4,2,4,2,3,2,1,4,3,2,1968,49,4,2,1,840,"US",1,840,"US",1,840,"US",6,1,0,1,7,3,-3,-3,7,3,7,3,1,-3,1,-4,1,1,-4,-3,6,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720716,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,-5,13.34,13.53,20170501,-4,-4,-4,128,"en",0.185745391,125231.12481,0.385208,"-4","-4",840046,3,2,1,2,1,2,2,4,2,1,6,8,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,2,-4,1,-4,2,5,4,3,4,5,1,2,2,3,3,3,3,4,4,3,4,1,3,2,4,3,0,1,2,1,2,2,3,2,5,3,5,7,3,4,3,3,3,2,3,3,3,-4,3,3,3,3,2,3,3,3,1,4,1,5,-4,6,1,10,5,1,10,9,1,1,10,7,2,2,2,3,2,4,3,2,2,3,0,8,8,-4,2,0,0,0,0,1,6,4,2,1,10,8,8,9,8,7,8,1,5,1,2,3,3,3,1,2,2,3,4,4,2,1990,27,2,1,1,840,"US",1,840,"US",1,840,"US",6,1,0,2,7,3,-3,-3,7,3,4,2,6,-3,2,-4,-3,6,-4,-3,6,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720717,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,23,12.25,12.49,20170501,-4,-4,-4,128,"en",0.424199623,125231.12481,0.385208,"-4","-4",840013,5,1,1,2,1,1,3,4,2,2,7,10,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,2,-4,1,-4,1,3,2,4,5,5,1,2,1,2,2,2,3,4,4,4,4,1,3,4,2,3,1,1,3,1,1,1,1,2,1,1,3,10,2,4,2,1,2,3,4,2,1,-4,4,3,4,1,1,1,1,4,2,4,1,840002,-4,8,1,10,9,1,10,10,6,1,10,6,1,1,1,2,3,3,2,2,2,3,0,8,8,-4,3,0,0,0,0,1,1,1,1,1,10,6,7,7,9,2,9,5,5,1,3,5,2,2,1,2,1,2,4,4,1,1982,35,3,2,1,840,"US",1,840,"US",1,840,"US",1,1,0,2,8,3,7,3,3,2,3,2,1,1,2,-4,1,2,-4,2,8,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720718,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,104,20.59,22.43,20170511,-4,-4,-4,128,"en",3.117360602,125231.12481,0.385208,"-4","-4",840032,5,3,1,1,2,3,2,2,2,3,5,6,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,3,3,-4,3,-4,3,3,3,4,3,3,2,3,3,2,2,2,1,3,3,3,2,2,1,3,4,2,0,1,2,2,2,2,2,2,-2,6,5,8,6,3,2,3,2,3,3,3,2,-4,4,3,2,2,3,2,3,2,1,4,-2,840001,-4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,2,-2,-2,1,-2,-2,1,2,9,4,4,-4,1,1,1,1,1,8,8,7,2,6,4,10,4,5,6,1,10,5,4,1,2,3,2,3,2,2,2,3,3,4,1,1984,33,2,2,1,840,"US",1,840,"US",1,840,"US",6,2,0,6,3,2,-3,-3,-1,-1,-1,-1,7,-3,-2,-4,-3,-1,-4,-3,-2,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720719,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,57,7.23,8.21,20170502,-4,-4,-4,128,"en",0.514704312,125231.12481,0.385208,"-4","-4",840015,3,2,1,3,2,3,2,1,1,1,10,10,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,2,2,-4,2,-4,3,5,2,3,4,5,1,1,1,2,2,2,3,4,4,3,4,2,1,2,1,2,1,1,1,4,2,2,3,3,9,6,2,3,1,2,1,4,3,2,3,2,3,-4,2,3,3,4,2,3,7,3,3,4,2,840001,-4,3,-2,10,-2,1,10,10,1,-2,10,7,2,1,1,4,3,3,3,1,4,3,2,2,1,-4,1,1,1,1,1,10,1,1,1,1,1,1,1,6,5,-2,1,1,8,1,1,3,1,2,1,1,1,1,4,3,1,1966,51,4,3,1,840,"US",1,840,"US",1,840,"US",1,1,1,2,3,2,3,2,6,3,8,3,1,1,2,-4,5,1,-4,3,5,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720720,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,53,20.1,21.03,20170502,-4,-4,-4,128,"en",0.475237099,125231.12481,0.385208,"-4","-4",840042,4,3,1,2,2,3,2,1,2,1,7,10,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,2,2,3,-4,1,-4,5,3,2,1,1,2,2,3,2,3,3,3,4,2,2,2,2,1,2,2,3,2,1,3,1,4,2,2,2,2,10,10,1,1,1,3,2,4,4,2,4,4,4,-4,4,4,3,4,2,4,1,3,3,3,2,840001,-4,1,1,10,1,1,10,10,1,5,10,5,2,1,4,1,4,1,4,4,1,3,2,1,1,-4,1,1,1,1,1,10,1,1,1,1,1,1,1,4,1,3,1,4,7,1,2,2,4,4,2,1,2,1,3,3,1,1980,37,3,2,1,840,"US",1,840,"US",1,840,"US",1,1,1,3,7,3,6,3,4,2,7,3,1,1,2,-4,1,-1,-4,1,6,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720721,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,30,14.38,15.09,20170511,-4,-4,-4,128,"en",0.277593336,125231.12481,0.385208,"-4","-4",840047,4,1,1,1,1,1,2,2,1,2,8,9,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,2,-4,2,-4,1,5,1,5,5,5,1,2,2,2,2,2,1,4,4,3,4,3,2,4,2,3,1,1,2,1,1,1,1,2,2,2,5,8,1,2,1,1,1,1,3,1,2,-4,3,3,2,1,2,1,6,4,2,4,1,840002,-4,5,1,10,7,3,10,10,2,2,8,7,1,1,1,3,4,4,2,1,1,4,1,2,3,-4,1,1,1,1,1,8,2,3,1,1,10,5,8,7,8,1,8,1,2,1,1,4,2,2,1,1,2,2,4,4,1,1988,29,2,1,1,840,"US",1,840,"US",1,840,"US",1,1,0,2,4,2,6,3,7,3,6,3,1,1,1,-4,5,5,-4,1,6,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720722,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,34,11.23,11.58,20170502,-4,-4,-4,128,"en",0.683558787,125231.12481,0.385208,"-4","-4",840009,-5,2,2,1,1,4,1,3,2,2,7,7,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,-4,1,-4,3,5,2,1,1,4,1,1,2,2,2,2,3,2,4,3,2,1,3,1,2,2,1,2,2,4,1,2,2,2,3,7,2,4,3,3,2,3,2,2,3,3,2,-4,4,4,4,1,3,2,3,3,1,4,2,840006,-4,2,1,10,1,3,10,10,1,10,10,7,2,1,1,2,2,3,3,2,1,3,0,7,4,-4,2,1,1,1,1,3,1,2,1,1,10,1,5,5,8,1,5,1,8,1,3,4,3,4,1,1,3,1,4,3,1,1989,28,2,1,1,840,"US",1,840,"US",1,840,"US",6,1,0,2,6,3,-3,-3,6,3,6,3,1,-3,2,-4,6,1,-4,-3,3,-4
2,7,"4-0-0 (2022-12-14)","5-0-0 (2022-12-14)","doi:10.4232/1.14023","doi:10.14281/18241.21","WVS7",840720723,-3,840,"US",2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,33,11.13,11.46,20170515,-4,-4,-4,128,"en",0.667576967,125231.12481,0.385208,"-4","-4",840009,3,3,3,2,1,4,1,3,3,3,5,3,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,3,-4,1,-4,3,4,3,1,2,3,3,2,2,2,3,2,3,2,3,2,2,3,2,3,2,2,0,2,2,3,2,3,2,3,5,4,5,6,5,3,2,3,3,3,4,3,3,-4,3,4,2,3,3,3,6,2,2,3,2,5,-4,8,3,9,3,2,8,7,5,3,6,6,3,3,2,2,3,3,3,3,3,3,-2,7,7,-4,-2,1,1,1,1,7,6,5,1,3,5,5,7,8,2,1,10,1,4,1,2,3,2,2,3,3,2,2,3,4,1,1986,31,2,2,2,608,"PH",-1,-2,"-1",-1,-2,"-1",1,1,0,1,6,3,-2,-2,-2,-2,-2,-2,1,-2,2,-4,1,-1,-4,-3,2,-4
